segment,selected_pairs,unique_tickers,peer_groups,maximum_pair_weight,pair_weight_hhi,maximum_ticker_weight,maximum_pair_pnl_share
0,3.0,6.0,3.0,0.35,0.335,0.175,0.6496768428340663
1,4.0,8.0,4.0,0.3430324303921122,0.3184254103274084,0.1715162151960561,0.8318994434129537
2,4.0,8.0,4.0,0.35,0.2900055574050429,0.175,0.736819265647804
3,4.0,8.0,4.0,0.35,0.2900621266737653,0.175,0.7176257903842956
4,4.0,8.0,3.0,0.35,0.2688194880596602,0.175,0.4444413841919047
5,4.0,8.0,4.0,0.3174570872021606,0.259372376958198,0.1587285436010803,0.4292124049318314
