segment,selected_pairs,completed_trades,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
0,3.0,6.0,-0.0096909932969224,-0.0382041127932619,0.0392848031795875,-0.9724908794531752,-1.8107454870336015,-2.4940231473183894,-0.0153182671276886,0.3015873015873015,0.5,0.0012188770325805,-0.0105757630282792,3.558025225468345,22.252869813635627,-0.0030630364018399,-0.0041732001240612,25.0
1,4.0,7.0,-0.0060377413659951,-0.0239331186172897,0.0039074416548331,-6.125009848243439,-6.430644853370586,-3.820835705277693,-0.0062638439502203,0.3809523809523809,0.0,-8.462126661534786e-05,-0.0030465750186275,-1.5067721389359934,6.389335637771161,-0.0004925505036651,-0.0007301642073404,52.0
2,4.0,8.0,0.006862374727431,0.0277333469057292,0.0147034359642466,1.8861813642176288,3.4145411612501024,6.655568458720592,-0.0041669388689693,0.4285714285714285,0.75,0.0084834910823272,-0.0041669388689692,1.2642043641414036,4.961355751207897,-0.0011419914530537,-0.0015892313331393,18.0
3,4.0,7.0,0.0094939099679136,0.0385198768634469,0.0391474249992262,0.9839696190543378,1.82738570249244,1.5971234821010258,-0.0241182834609468,0.4603174603174603,0.75,0.0143803610438975,-0.0162538816818061,1.387232381098791,4.472034958819697,-0.0031436444928366,-0.0038674559316647,47.0
4,4.0,7.0,0.0307119159127891,0.1286237565845454,0.0519750342525649,2.474721920518945,5.562910497263643,9.240066816865944,-0.0139202193159218,0.3492063492063492,0.5,0.0233279183714061,-0.0056460884032155,1.7247471988169336,4.570218317246052,-0.0037292799475042,-0.0044290387358365,40.0
5,4.0,8.0,0.0069013714380603,0.0278925764067983,0.0703495107342481,0.3964857198817649,0.5381849225379666,0.7239520324480045,-0.0385282106502016,0.3809523809523809,0.75,0.0158876604667872,-0.0196598324247515,0.0499033344181934,3.011963603831755,-0.0071643113852631,-0.009936361467216,47.0
