segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
0,2022-06-30,2024-07-02,2024-07-03,2024-12-31,2025-01-02,2025-04-03,504,126,63
1,2022-09-29,2024-10-01,2024-10-02,2025-04-03,2025-04-04,2025-07-07,504,126,63
2,2022-12-29,2024-12-31,2025-01-02,2025-07-07,2025-07-08,2025-10-03,504,126,63
3,2023-03-31,2025-04-03,2025-04-04,2025-10-03,2025-10-06,2026-01-05,504,126,63
4,2023-07-03,2025-07-07,2025-07-08,2026-01-05,2026-01-06,2026-04-07,504,126,63
5,2023-10-02,2025-10-03,2025-10-06,2026-04-07,2026-04-08,2026-07-08,504,126,63
