method,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
equal_weight,-0.3691691151521944,-0.05970279611856377,0.07342651598141346,-0.8130958594532309,-0.9150128815469335,-0.14848132819975077,-0.4020895882494132,0.4135737009544008,0.4111111111111111,0.030645154600432267,-0.0929621646065889,-0.8563327130326082,11.34191860933372,-0.00672953891585318,-0.01224095994983178,1702.0
constrained_inverse_volatility,-0.3557567537736285,-0.05705581778646518,0.06891252302402948,-0.8279455646482438,-0.9431377362037411,-0.14944514516494442,-0.38178435119783904,0.41675503711558853,0.4,0.027087204477450166,-0.0642207344988498,-0.6928042987353628,12.278326387556115,-0.006377236249451048,-0.011386909714389333,1702.0
validation_score,-0.3883164585379846,-0.06356736866278934,0.07587749180888274,-0.8377631778195876,-0.9325766429381751,-0.15596077216556284,-0.40758562412930543,0.41039236479321317,0.43333333333333335,0.0310632403177471,-0.09062032539453824,-1.0016872129345584,14.466902458259405,-0.006765214682583048,-0.012521912520715056,1870.0
score_risk_budget,-0.3742460496494464,-0.060717482122878974,0.07191389596011623,-0.8443080619155047,-0.9401779847687828,-0.15739078156991218,-0.3857753390461981,0.4146341463414634,0.43333333333333335,0.027087204477450166,-0.06769592399884805,-0.9677873211529194,15.91098204773202,-0.006409273294620473,-0.011764545410532937,1702.0
