target,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
unscaled,-0.2915187995391768,-0.045004220076336865,0.05944318281809935,-0.7570964060597696,-0.86444447190495,-0.1363313113949092,-0.3301091995365152,0.41675503711558853,0.4,0.033117484048260426,-0.05164675818373621,-0.5877480973870615,11.518889627738478,-0.005321582327742283,-0.009859222006884123,1702.0
target_5pct,-0.32297301344710194,-0.05078142432480537,0.055971445821379036,-0.9072737639628514,-1.03744300123067,-0.15273786464104122,-0.33247436347332704,0.41675503711558853,0.4,0.025632103832876174,-0.058377572540102673,-0.7724451845884177,11.029972329115445,-0.0053319194964670845,-0.00924790988715669,1870.0
target_8pct,-0.3557567537736285,-0.05705581778646518,0.06891252302402948,-0.8279455646482438,-0.9431377362037411,-0.14944514516494442,-0.38178435119783904,0.41675503711558853,0.4,0.027087204477450166,-0.0642207344988498,-0.6928042987353628,12.278326387556115,-0.006377236249451048,-0.011386909714389333,1702.0
target_10pct,-0.360512844401058,-0.05798893916957315,0.07208582262039097,-0.8044430522066315,-0.9120153524655333,-0.147932263231156,-0.39199656588070175,0.41675503711558853,0.4,0.0337971870712912,-0.0642207344988498,-0.7214352922755166,11.957319560538714,-0.006527797112244433,-0.011994608287842367,1702.0
