transaction_cost_bps_per_leg,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
0.0,-0.006092014228680553,-0.0008161476062505946,0.04401961785284785,-0.018540542741167704,-0.022065759836691307,-0.01256652529825145,-0.0649461634684455,0.43160127253446445,0.5333333333333333,0.035167231786811026,-0.026889463064043717,-0.5856197525996423,16.566970567289452,-0.003965195856376275,-0.006525157990967874,673.0
1.0,-0.024358598137164456,-0.003289574487633118,0.04401728146010602,-0.07473370409334668,-0.08933636305674644,-0.04738936594879254,-0.06941587889544099,0.42948038176033937,0.5222222222222223,0.03475476472637373,-0.02721592458557265,-0.5871249820894866,16.556739631225643,-0.003965195856376275,-0.006537751876987863,683.0
2.0,-0.04229063167144553,-0.005757039838479527,0.04401807567838323,-0.13078808534346592,-0.15646533114017203,-0.07794048983749678,-0.07386455808120729,0.4278897136797455,0.5222222222222223,0.034342434493754626,-0.027542299884503407,-0.5885345016859602,16.541910183980455,-0.003965195856376275,-0.006550345763007852,808.0
5.0,-0.09413993644667007,-0.013123806370054503,0.044039236967395305,-0.2980025830095736,-0.35721717060069474,-0.11806012294701743,-0.11116205914798305,0.4236479321314952,0.5,0.03310626440008013,-0.028520908613684393,-0.5922637981460162,16.470058521877302,-0.004031304818511575,-0.0065916231282734175,1882.0
10.0,-0.17441298097851465,-0.02528381872604535,0.04413697124844678,-0.5728489747002091,-0.6893000533609484,-0.1368225707823299,-0.1847927471430807,0.4146341463414634,0.43333333333333335,0.031048714082604345,-0.030150200277783812,-0.597273281157003,16.261391614265925,-0.004096322760373988,-0.006662843976734794,1882.0
