segment,selected_pairs,completed_trades,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
0,3.0,5.0,-0.0277345352559706,-0.1064076567845067,0.0323048075662149,-3.293864436938795,-3.1036081017205746,-3.24316630733724,-0.0328098058196316,0.4126984126984127,0.25,0.002652151684886,-0.0232163411985066,-2.34082999532211,8.039434727421263,-0.0035044066511988,-0.0065114286015726,59.0
1,4.0,6.0,-0.0207051727463949,-0.0802837877038471,0.0449992566617464,-1.784113642305913,-1.5901165533000747,-3.264002416998046,-0.0245967304698522,0.3333333333333333,0.25,0.0113308443152391,-0.0240308471683154,-1.852779568392584,8.57022820302143,-0.0034410542872964,-0.0087027868886763,48.0
2,4.0,7.0,-0.0074362028131771,-0.0294146703234332,0.0427702816959744,-0.6877361840289627,-1.0021754007450752,-0.904830501493858,-0.0325084866998517,0.3968253968253968,0.25,0.0084732258115882,-0.0075078083582653,1.0367948169396914,3.8455055800610713,-0.004621012793071,-0.005368649455846,42.0
3,4.0,8.0,-0.0131280934837804,-0.0514873135422064,0.0204143706356924,-2.5221112353170496,-2.99753396182904,-2.778113605325454,-0.0185331922508528,0.5238095238095238,0.25,0.001156933915914,-0.0089677457199537,0.1375656165036765,3.098325593736142,-0.002570421986561,-0.0029652253943911,53.0
4,4.0,8.0,-0.009908169932946,-0.0390475299183084,0.0520583301466744,-0.7500726551983504,-1.1243037634279167,-1.0349257662418436,-0.03772978815679,0.4444444444444444,0.5,0.0158093568713031,-0.025633446990774,0.2340228188157206,1.2351260729422409,-0.0061043280978405,-0.0067995256354539,47.0
5,4.0,6.0,-0.0137919469555219,-0.0540369387296084,0.061894926905559,-0.8730430978949123,-1.07597231403426,-1.9846113345237577,-0.0272279704290692,0.4285714285714285,0.25,0.0077238139409432,-0.0139618097671361,-0.4950460239818987,1.641823221561406,-0.0069716964816271,-0.0087914178480151,55.0
6,4.0,6.0,0.0077474641730639,0.0313518596121185,0.0504908170271435,0.6209418159199908,0.8505465406328502,2.107564308997348,-0.0148758732904495,0.4761904761904761,0.75,0.0056567652702681,-0.0007287670131667,0.1628953953256106,3.54266899474918,-0.0046857745066107,-0.006648990827036,13.0
7,4.0,6.0,0.0001906493917072,0.0007628156776917,0.0382742222498952,0.0199302724614829,0.0222643112849725,0.0750183397562749,-0.0101683892254887,0.3809523809523809,0.25,0.005485890427934,-0.0039120917648874,-0.7621340893360882,2.473233976497758,-0.0038092255566761,-0.0062808976989175,31.0
8,4.0,6.0,0.0048672170955397,0.0196114689705384,0.0332399686159187,0.5899966151335786,0.7349949376585789,1.1648086967034563,-0.016836643670365,0.5238095238095238,0.75,0.0036001268912251,-0.0045856158022244,-0.6769384945783639,3.8590613037445234,-0.0029328248791088,-0.0046947404470878,47.0
9,4.0,7.0,-0.0038338548470197,-0.0152474539208941,0.0447153843268329,-0.3409889940662852,-0.5114843819994246,-0.9903644486684964,-0.0153958009512494,0.4285714285714285,0.25,0.005967026038639,-0.0066499533388878,0.6410584122620078,3.273335188894581,-0.0048016042592921,-0.0059346271455984,44.0
10,3.0,9.0,0.0246895658637995,0.1024762835468438,0.1249003636205439,0.8204642530759471,0.96664950837567,1.7347873397234088,-0.0590713807971312,0.5396825396825397,0.5,0.0362013152365205,-0.0190242809634143,-0.5310074044498437,4.61747612437686,-0.0082686814552473,-0.0180405981445842,43.0
11,4.0,3.0,-0.0018766388744834,-0.0074854512811274,0.0370262860682816,-0.2021658685217096,-0.1932106277067288,-0.4128765740725326,-0.0181299975614804,0.1904761904761904,0.5,0.0036295363548561,-0.0073203226472936,-0.1645878708266047,7.745828397195821,-0.0027511329887682,-0.0057052459239166,26.0
12,4.0,8.0,0.0154289845096118,0.0631590077848769,0.0376810616035466,1.6761472500268455,3.4980425885600126,4.990589417740173,-0.0126556209092986,0.5079365079365079,0.75,0.0162974731966087,-0.0038377252352839,0.4798474040404302,0.1405318390665129,-0.0031122496400615,-0.003854771026004,23.0
13,4.0,6.0,-0.0551169398985744,-0.2029010224647199,0.0448746136220012,-4.521510183326483,-4.9060543193809645,-3.5986907832420743,-0.0563818996090366,0.2857142857142857,0.0,0.0,-0.0222730189093056,-1.1358177454759764,2.8669718312337844,-0.0061945345280976,-0.0081094730692292,55.0
14,4.0,7.0,0.0269590914084163,0.1122760241921518,0.0364373301402783,3.081346074476526,7.776791717344352,11.389252782795564,-0.0098580676303676,0.4761904761904761,0.75,0.0185721569916961,-0.0006015959494493,1.0124513338285035,1.4110178043158186,-0.0023185277098927,-0.0030468546264083,20.0
15,4.0,7.0,0.0099617259005708,0.0404462835942176,0.044465413315646,0.9096122261835756,1.2382440127314251,3.119385096247411,-0.0129661078533952,0.3968253968253968,0.5,0.0154527129748207,-0.008493814746444,0.2885688103530933,2.5067557535718645,-0.0049077766846986,-0.0060392898374111,25.0
16,4.0,9.0,-0.0424638020736267,-0.1593391885149931,0.0308632108354792,-5.16275475563361,-6.588560933159597,-3.0890661107266912,-0.0515816699298511,0.3492063492063492,0.5,0.0037029477463341,-0.0286069941507913,-0.6229315778848172,0.8708710223440717,-0.0034913508849142,-0.0050337033386297,50.0
17,4.0,6.0,-0.0013589380585218,-0.005424681993068,0.0370253802933249,-0.1465125260049247,-0.247978099477362,-0.2788263672657555,-0.0194554125073028,0.3809523809523809,0.25,0.0069451194293204,-0.0069807916560147,0.4956303620190861,1.2433566752302108,-0.0030495074135595,-0.0044624339138534,40.0
18,4.0,7.0,0.0184864115202307,0.0760215180706831,0.0544928367351912,1.395073602795004,1.811635001391225,2.724908676187624,-0.0278987397761321,0.5396825396825397,0.75,0.0146765809133846,-0.0028971197665655,-0.0325599605880519,2.9162717140585794,-0.0049397092405803,-0.0074470285012911,42.0
19,4.0,10.0,0.0138114240260451,0.0564008035102958,0.0336368609970938,1.6767558517178145,2.55761542301469,4.351167772706527,-0.0129622222025268,0.5396825396825397,0.5,0.0238809559868162,-0.0106244049002806,-0.3986228443503734,0.3802957143692609,-0.002838849782578,-0.0044083912737841,42.0
20,4.0,7.0,0.0347943489680966,0.1466112365163765,0.0393520213196189,3.725634201241999,5.763908684151321,9.186214413510026,-0.0159599188432568,0.365079365079365,0.75,0.0180158663021601,-0.0044260243446961,0.7978089611095682,2.3663742739841123,-0.003310513866303,-0.0044227172260901,34.0
21,4.0,6.0,-0.0294708035624798,-0.1127736752361312,0.0564113004325543,-1.9991326980835005,-2.508108557824017,-3.341438418264894,-0.0337500384923122,0.365079365079365,0.25,0.0002373172370637,-0.0209054018626938,-0.3819231015699574,2.776592520293629,-0.0063837075884017,-0.0086711369312042,35.0
22,4.0,8.0,0.0086088645263371,0.0348826909881718,0.0456657416520504,0.7638700199804063,1.1433000837629077,1.4217475938030977,-0.0245350800241993,0.5238095238095238,0.75,0.0100628029579454,-0.0096095395035473,0.0229432312758489,0.9053465858159866,-0.0046690911360801,-0.0058141600255751,43.0
23,3.0,5.0,-0.0210020310196166,-0.0813984724297202,0.0305830838700976,-2.661552143513779,-3.079794016311686,-3.586254018729119,-0.0226973527264434,0.365079365079365,0.25,0.006759614301556,-0.0185013753607115,-0.9473792223598008,2.1689656209523607,-0.0037389920131881,-0.0051850787761941,52.0
24,2.0,5.0,-0.019323065209895,-0.0750806957816681,0.0443120717670428,-1.6943621182142372,-2.7556300049382663,-2.7652599483169427,-0.027151406082949,0.365079365079365,0.25,0.0080468234440616,-0.018376966625193,1.4654195800802003,6.714559254983376,-0.0047555774399609,-0.0054153398718782,47.0
25,3.0,6.0,0.0069448526951489,0.028070138808744,0.0387393652087151,0.7245895398004393,1.199013737593619,2.833385316373312,-0.0099069260529215,0.3174603174603174,0.5,0.0113948258827503,-0.0040168854638649,0.816670892150181,2.5518321797954737,-0.0034263365297428,-0.0043938774469252,29.0
26,3.0,4.0,-0.0012024032057863,-0.00480094513385,0.0298052526779661,-0.1610771492435373,-0.2202607934566773,-0.2522260044307527,-0.0190342988015265,0.3809523809523809,0.75,0.0077981061395364,-0.0137908411362526,0.4611050940094939,2.303854036266816,-0.0034595565594126,-0.0039361524666516,44.0
27,4.0,7.0,0.000485548122342,0.0019436074891838,0.0676488996952978,0.0287308071223362,0.0250809572728054,0.0654667026599936,-0.0296884891129792,0.492063492063492,0.5,0.0052881236987458,-0.009310496362401,-3.304936298324859,20.013648838797742,-0.0042883639102551,-0.0100823869768773,48.0
28,4.0,7.0,0.0001567851127246,0.0006272879557447,0.0637194448764018,0.0098445295146796,0.018262391062229,0.0171952888665177,-0.0364802220314064,0.4285714285714285,0.75,0.005266313941415,-0.0126780005500318,1.0165185824794662,2.939193262754215,-0.0058802339247706,-0.006893727953974,57.0
29,4.0,7.0,-0.0209300740486652,-0.0863841084598422,0.0444767094982023,-1.9422324500721808,-1.834766936540492,-2.8588252200574904,-0.0302166455835677,0.4067796610169492,0.3333333333333333,0.0095759238314527,-0.0255955914620439,-3.320564827795531,26.390661777417144,-0.0026310601868681,-0.0077546894055452,41.0
