pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
AXP/COF,2021-11-29,2021-12-27,long_spread,-2.922684274774653,0.6014512279248114,20,0.039619146142106,0.0375509947886403,time_stop,0.002,17,stock_peer_groups,payments_credit,kalman,0.25
ADI/MCHP,2021-10-11,2021-11-05,short_spread,2.6019865672428986,-1.4830240392478322,20,0.0070871834310688,0.0050705969195994,time_stop,0.002,17,stock_peer_groups,semiconductors,kalman,0.25
HD/LOW,2021-11-17,2021-12-15,short_spread,3.4882593427603243,-0.5675856961644824,20,-0.0051556603291414,-0.0071465660180205,time_stop,0.002,17,stock_peer_groups,home_improvement,kalman,0.25
UNP/CSX,2022-03-11,2022-04-04,short_spread,2.5895604409106845,-1.2345829495362004,17,0.0134763838485378,0.0124562491860755,time_stop,0.001,18,stock_peer_groups,railroads,kalman,0.25
TXN/NXPI,2022-01-10,2022-02-07,long_spread,-2.9589426510872308,-2.5218562798338504,20,0.0102631332585523,0.0082558989650631,time_stop,0.002,18,stock_peer_groups,semiconductors,kalman,0.25
TXN/NXPI,2022-04-01,2022-04-04,long_spread,-2.0860842364143006,-1.1087574165122815,2,0.0017989984748298,0.0007978282637155,time_stop,0.001,18,stock_peer_groups,semiconductors,kalman,0.25
CAT/DE,2022-01-28,2022-02-25,long_spread,-2.1012640823930377,0.1320098870156032,20,-0.0400705402745771,-0.0420160449850277,time_stop,0.002,18,stock_peer_groups,industrial_machinery,kalman,0.25
CAT/DE,2022-03-08,2022-03-09,short_spread,2.5495290933787937,3.747141279282348,2,-0.0437192441213064,-0.0456745248771851,stop_loss,0.002,18,stock_peer_groups,industrial_machinery,kalman,0.25
AXP/COF,2022-01-14,2022-02-11,long_spread,-2.262555434867182,-0.1789083444534379,20,0.0839756113804777,0.0817926948705467,time_stop,0.002,18,stock_peer_groups,payments_credit,kalman,0.25
AXP/COF,2022-03-02,2022-03-29,long_spread,-2.764286628439536,0.4085522506326282,20,0.0626172381061096,0.0604992013506384,time_stop,0.002,18,stock_peer_groups,payments_credit,kalman,0.25
TXN/NXPI,2022-04-27,2022-05-24,long_spread,-2.2716341277053047,0.0590427067580829,20,-0.0152117627918483,-0.0171826172220035,time_stop,0.002,19,stock_peer_groups,semiconductors,kalman,0.25
TXN/NXPI,2022-06-10,2022-07-06,long_spread,-3.347292239530271,0.5768146219080228,17,0.0296492142551907,0.0286138225225829,time_stop,0.001,19,stock_peer_groups,semiconductors,kalman,0.25
JNJ/ABBV,2022-04-14,2022-05-12,short_spread,2.9008439522454093,-0.7267155420214131,20,0.0029685825697169,0.0009729238546309,time_stop,0.002,19,stock_peer_groups,large_pharma,kalman,0.25
JNJ/ABBV,2022-05-24,2022-06-22,short_spread,2.823475264605741,0.2320478232198677,20,0.0158441128141888,0.0138079030695852,time_stop,0.002,19,stock_peer_groups,large_pharma,kalman,0.25
JNJ/ABBV,2022-06-29,2022-07-06,long_spread,-2.271240769232646,0.4476817638757188,5,0.0052259945932002,0.0042176365697494,time_stop,0.001,19,stock_peer_groups,large_pharma,kalman,0.25
UNP/NSC,2022-04-07,2022-05-05,long_spread,-2.6003198039267987,0.1250602619301212,20,-0.0268511244224859,-0.0287952252996676,time_stop,0.002,19,stock_peer_groups,railroads,kalman,0.25
UNP/NSC,2022-05-13,2022-06-10,short_spread,2.3945175386095743,-1.1451904063093603,20,0.0032399244904006,0.0012286773570107,time_stop,0.002,19,stock_peer_groups,railroads,kalman,0.25
UNP/NSC,2022-06-24,2022-07-06,short_spread,2.2696489591251043,-2.079202955244764,8,0.0083186380680937,0.0073124186330488,time_stop,0.001,19,stock_peer_groups,railroads,kalman,0.25
GS/STT,2022-04-20,2022-05-17,short_spread,2.557625842426481,-0.5387171296196438,20,0.0176646080838651,0.0156273869558825,time_stop,0.002,19,stock_peer_groups,capital_markets,kalman,0.25
GS/STT,2022-06-13,2022-07-06,long_spread,-2.5231827534010307,-0.4702405130843656,16,0.0295056213225435,0.0284832685776827,time_stop,0.001,19,stock_peer_groups,capital_markets,kalman,0.25
MA/SYF,2022-07-29,2022-08-25,short_spread,2.171194149751597,-1.7750453114615403,20,0.0435698198836462,0.0414908477569446,time_stop,0.002,20,stock_peer_groups,payments_credit,kalman,0.25
MA/SYF,2022-09-16,2022-10-04,long_spread,-2.289547495843374,1.2043000712221597,13,-0.0278961838678498,-0.0288715263734482,time_stop,0.001,20,stock_peer_groups,payments_credit,kalman,0.25
JNJ/LLY,2022-07-20,2022-08-16,long_spread,-2.30133191314427,-1.6056469448245896,20,-0.0134517816988511,-0.0154241878985423,time_stop,0.002,20,stock_peer_groups,large_pharma,kalman,0.25
JNJ/LLY,2022-09-19,2022-10-04,short_spread,2.3086167764508287,0.3789306260089011,12,0.0287221318114652,0.0276955088347674,time_stop,0.001,20,stock_peer_groups,large_pharma,kalman,0.25
CAT/DE,2022-08-01,2022-08-26,short_spread,3.028953592267813,0.1028930386995204,20,0.0482282913146103,0.046136855955404,time_stop,0.002,20,stock_peer_groups,industrial_machinery,kalman,0.25
CAT/DE,2022-09-12,2022-10-04,short_spread,2.874670344431184,2.0903425694221447,17,0.016973784088923,0.0159496359837434,time_stop,0.001,20,stock_peer_groups,industrial_machinery,kalman,0.25
TXN/NXPI,2022-07-27,2022-08-23,long_spread,-2.0893224866471165,-0.9765379481001224,20,0.0535281775237563,0.0514539812504697,time_stop,0.002,20,stock_peer_groups,semiconductors,kalman,0.25
MA/SYF,2022-10-19,2022-11-15,short_spread,2.130667111837018,1.1163267096819978,20,-0.049171389973017,-0.0510736526541839,time_stop,0.002,21,stock_peer_groups,payments_credit,kalman,0.25
MA/SYF,2022-11-16,2022-12-14,short_spread,2.187866905513934,-0.2228392689888138,20,-0.0338558638810773,-0.0357911381520389,time_stop,0.002,21,stock_peer_groups,payments_credit,kalman,0.25
V/COF,2022-10-27,2022-11-23,short_spread,2.8236433827295384,-0.1046182015732873,20,-0.026272983418745,-0.0282223346065244,time_stop,0.002,21,stock_peer_groups,payments_credit,kalman,0.25
MS/STT,2022-10-17,2022-11-11,long_spread,-2.3981367024135074,0.95752319674479,20,-0.0128509719085606,-0.01482924575159,time_stop,0.002,21,stock_peer_groups,capital_markets,kalman,0.25
MS/STT,2022-12-08,2023-01-04,long_spread,-3.264683444800597,0.556133219885568,18,-0.0023387799524454,-0.0033154211977742,time_stop,0.001,21,stock_peer_groups,capital_markets,kalman,0.25
MSFT/ORCL,2022-10-27,2022-11-23,long_spread,-3.3339616121878857,0.2906640793859577,20,0.012374168445089,0.0103354235282107,time_stop,0.002,21,stock_peer_groups,enterprise_software,kalman,0.25
JNJ/LLY,2023-01-31,2023-02-28,long_spread,-2.9009709172465845,0.3689066144032742,20,-0.0093855063600883,-0.0113616691924056,time_stop,0.002,22,stock_peer_groups,large_pharma,kalman,0.25
JNJ/LLY,2023-03-07,2023-04-03,short_spread,2.113357291108513,1.25659013080918,20,0.0193365344009341,0.0173000416081208,time_stop,0.002,22,stock_peer_groups,large_pharma,kalman,0.25
MSFT/ORCL,2023-01-06,2023-02-03,long_spread,-2.74107913024483,2.590091870763168,20,0.1056914865473546,0.1034845331680827,time_stop,0.002,22,stock_peer_groups,enterprise_software,kalman,0.25
MSFT/ORCL,2023-03-17,2023-04-05,short_spread,2.1389768879543505,-0.868443073109273,14,0.0163349350920489,0.015312290917175,time_stop,0.001,22,stock_peer_groups,enterprise_software,kalman,0.25
TXN/ADI,2023-01-10,2023-02-07,short_spread,2.2431066536666138,-0.3882364162794632,20,0.0079368333341907,0.005921923429538,time_stop,0.002,22,stock_peer_groups,semiconductors,kalman,0.25
