transaction_cost_bps_per_leg,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
0.0,-0.029357231929127536,-0.0039734150341732555,0.04917599900467023,-0.080799884386607,-0.09569403931779424,-0.044252135238046796,-0.08979035729686147,0.42735949098621423,0.5222222222222223,0.03826886438171839,-0.026902159574120232,-0.5107644662174641,13.747442933372575,-0.0048501502342913,-0.0074649734688039485,1273.0
1.0,-0.047165461362885686,-0.00643473858967214,0.04917624676138429,-0.13085054296427165,-0.15569089991355015,-0.06889647733516295,-0.09339720749972247,0.4252386002120891,0.5111111111111111,0.03785507976493885,-0.02724331193105678,-0.5108985947603676,13.736601098382408,-0.004872677095849275,-0.007479577025842804,1275.0
2.0,-0.06464804616935993,-0.008890132791986916,0.04917913644828369,-0.18077041270002156,-0.21527751082490687,-0.0895673833219317,-0.0992563638934627,0.4236479321314952,0.5111111111111111,0.037441432578543044,-0.027584371548864728,-0.5109785675412122,13.722820128719771,-0.004873855901077275,-0.007494489306544558,1882.0
5.0,-0.11520074630637811,-0.016220878294324392,0.049203650307519324,-0.3296681891068052,-0.39360988081493636,-0.12408175164765235,-0.1307273477278582,0.4188759278897137,0.4777777777777778,0.03620131523652015,-0.028606994150790932,-0.5109456217049627,13.66400421563673,-0.004873855901077275,-0.00753922614864982,1882.0
10.0,-0.1934755694043161,-0.028321493115185392,0.04929721848025381,-0.5745048907075695,-0.6889167314595434,-0.1395188410985493,-0.2029940393153099,0.41039236479321317,0.4444444444444444,0.034137198200594465,-0.030309512081632906,-0.5102958720712734,13.509158506820445,-0.0048890228441342,-0.0076163204298251,1882.0
