cost_bps,strategy,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration,profit_factor,number_of_trades
0.0,equal_weight,0.08499052539629548,0.02199064136264095,0.05370933031193213,0.4094380107687822,0.28309168684963265,0.3028568056195724,-0.07261068912634594,0.12063492063492064,0.13636363636363635,0.07166920251768505,-0.044265005861468865,1.5902648283241518,34.324718230509,-0.0029376035450384775,-0.007828270311759861,155.0,1.1932252854891368,19.0
0.0,inverse_volatility,0.08499052539629548,0.02199064136264095,0.05370933031193213,0.4094380107687822,0.28309168684963265,0.3028568056195724,-0.07261068912634594,0.12063492063492064,0.13636363636363635,0.07166920251768505,-0.044265005861468865,1.5902648283241518,34.324718230509,-0.0029376035450384775,-0.007828270311759861,155.0,1.1932252854891368,19.0
0.0,sharpe_weighted,0.08499052539629548,0.02199064136264095,0.05370933031193213,0.4094380107687822,0.28309168684963265,0.3028568056195724,-0.07261068912634594,0.12063492063492064,0.13636363636363635,0.07166920251768505,-0.044265005861468865,1.5902648283241518,34.324718230509,-0.0029376035450384775,-0.007828270311759861,155.0,1.1932252854891368,19.0
0.0,robust_score_weighted,0.08499052539629548,0.02199064136264095,0.05370933031193213,0.4094380107687822,0.28309168684963265,0.3028568056195724,-0.07261068912634594,0.12063492063492064,0.13636363636363635,0.07166920251768505,-0.044265005861468865,1.5902648283241518,34.324718230509,-0.0029376035450384775,-0.007828270311759861,155.0,1.1932252854891368,19.0
0.0,risk_capped_inverse_volatility,0.08499052539629548,0.02199064136264095,0.05370933031193213,0.4094380107687822,0.28309168684963265,0.3028568056195724,-0.07261068912634594,0.12063492063492064,0.13636363636363635,0.07166920251768505,-0.044265005861468865,1.5902648283241518,34.324718230509,-0.0029376035450384775,-0.007828270311759861,155.0,1.1932252854891368,19.0
0.0,risk_capped,0.08499052539629548,0.02199064136264095,0.05370933031193213,0.4094380107687822,0.28309168684963265,0.3028568056195724,-0.07261068912634594,0.12063492063492064,0.13636363636363635,0.07166920251768505,-0.044265005861468865,1.5902648283241518,34.324718230509,-0.0029376035450384775,-0.007828270311759861,155.0,1.1932252854891368,19.0
1.0,equal_weight,0.07784237678315642,0.020190796259159205,0.05376079148186514,0.37556731779088603,0.26679797976883224,0.2725064622918294,-0.07409290807032942,0.12063492063492064,0.125,0.07124152946249063,-0.04464862061964081,1.5735990995770612,34.319541380711165,-0.0029376035450384775,-0.00785327031175986,248.0,1.1765213999517101,19.0
1.0,inverse_volatility,0.07784237678315642,0.020190796259159205,0.05376079148186514,0.37556731779088603,0.26679797976883224,0.2725064622918294,-0.07409290807032942,0.12063492063492064,0.125,0.07124152946249063,-0.04464862061964081,1.5735990995770612,34.319541380711165,-0.0029376035450384775,-0.00785327031175986,248.0,1.1765213999517101,19.0
1.0,sharpe_weighted,0.07784237678315642,0.020190796259159205,0.05376079148186514,0.37556731779088603,0.26679797976883224,0.2725064622918294,-0.07409290807032942,0.12063492063492064,0.125,0.07124152946249063,-0.04464862061964081,1.5735990995770612,34.319541380711165,-0.0029376035450384775,-0.00785327031175986,248.0,1.1765213999517101,19.0
1.0,robust_score_weighted,0.07784237678315642,0.020190796259159205,0.05376079148186514,0.37556731779088603,0.26679797976883224,0.2725064622918294,-0.07409290807032942,0.12063492063492064,0.125,0.07124152946249063,-0.04464862061964081,1.5735990995770612,34.319541380711165,-0.0029376035450384775,-0.00785327031175986,248.0,1.1765213999517101,19.0
