method,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
equal_weight,-0.33334566125833553,-0.05273760590637411,0.06035488671898521,-0.873791813278062,-0.8963906187694664,-0.14639349065615984,-0.3602455660425572,0.3552492046659597,0.4,0.047372858526586015,-0.06421543244568795,-1.4324167343893004,19.235009637764854,-0.005975672926214124,-0.010260326469847775,1884.0
constrained_inverse_volatility,-0.32494470688702437,-0.05115125849652591,0.06019145784718674,-0.8498092640717896,-0.872335964998837,-0.14512607348443002,-0.35246084503219,0.3547189819724284,0.4111111111111111,0.047372858526586015,-0.06421543244568795,-1.402168875651782,19.56133227481138,-0.005658094770133557,-0.01016710459731641,1884.0
validation_score,-0.35251162805902436,-0.05642255965850029,0.0615769898916576,-0.9162929165224488,-0.9463932745109926,-0.148766718072711,-0.3792686992726645,0.35418875927889715,0.4,0.047372858526586015,-0.06421543244568795,-1.373793400089983,18.07442998627126,-0.006195988263928415,-0.010467695902570769,1884.0
score_risk_budget,-0.34277120409739714,-0.05453817636519365,0.06052846090437971,-0.9010335889979219,-0.9246362655914578,-0.14761486528561618,-0.3694626300655367,0.35418875927889715,0.4,0.047372858526586015,-0.06421543244568795,-1.4391919357235377,19.15432518173875,-0.005981375247781795,-0.010311873976392175,1884.0
