target,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
unscaled,-0.16889928848714897,-0.02441653009080591,0.05666449534133983,-0.4308964536562761,-0.48095979975736763,-0.11652227744074418,-0.2095438797376974,0.36267232237539765,0.4444444444444444,0.06082621402563593,-0.0614244837985497,-0.26997821735005667,15.80288840679793,-0.005429829751690421,-0.008929152954073307,1843.0
target_5pct,-0.21356862445306046,-0.0315914719061825,0.051221677091323074,-0.6167598114731405,-0.6722858213074596,-0.12625306907508027,-0.2502233976379272,0.36267232237539765,0.4444444444444444,0.03143327163004894,-0.06949310312610257,-0.88953041431579,11.624765989326695,-0.005062603884631553,-0.00823403627318717,1843.0
target_8pct,-0.22878634396651776,-0.03411655418690718,0.06586992461117963,-0.5179382607205355,-0.5604291345021132,-0.1258617752576713,-0.2710636658116561,0.36267232237539765,0.4444444444444444,0.05052308975787012,-0.07633247680277289,-0.9000054216949513,15.029855849414176,-0.0064365620254330765,-0.010550179226538907,1843.0
target_10pct,-0.22052894157851566,-0.032741098316405925,0.06932757230877874,-0.47226662100008393,-0.520128936800152,-0.12210754245748716,-0.26813330001957114,0.36267232237539765,0.4444444444444444,0.06334480707206791,-0.07632160458305648,-0.5670683957879707,14.244020077076343,-0.006758099212717363,-0.011049565183265714,1843.0
