year,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
2017,-0.05834209125071299,-0.11413283008479447,0.04634855747490528,-2.4624893697412253,-2.2049764429479035,-1.4583449598364164,-0.07826188811843038,0.136,0.3333333333333333,0.014546239868975741,-0.05254054046658907,-1.0926739042145686,6.776154161926234,-0.00572011762994698,-0.008602825475943886,82.0
2018,-0.031859414045151246,-0.03198429214881082,0.04252419496205714,-0.7521433898360521,-0.9271921293319767,-0.5294463430561607,-0.06041082834605227,0.3784860557768924,0.16666666666666666,0.02042514784707894,-0.020178994744250223,0.22152609717539443,5.2309200632799655,-0.0041387386756403,-0.006465790358860962,228.0
2019,-0.03351360585852259,-0.03351360585852259,0.0498483854232538,-0.6723107593950035,-0.7390752005647806,-0.4924128857494533,-0.06805996924210223,0.3888888888888889,0.4166666666666667,0.011741162368121172,-0.030877826118397178,-0.7417514547891595,4.415573376309756,-0.0060385853787289796,-0.008858007455771085,211.0
2020,-0.007041875429182776,-0.007014139772975714,0.05552966865241854,-0.12631337343069524,-0.13989558705036512,-0.12851921173464861,-0.0545765856972239,0.33992094861660077,0.4166666666666667,0.013447016027245073,-0.016748688302099524,0.093881416332233,5.898651709933575,-0.005464984718859399,-0.009254776840598293,193.0
2021,-0.030182423649501078,-0.030182423649501078,0.07922721080703216,-0.3809603208550932,-0.5251437106403609,-0.22705324169209293,-0.13293104042280746,0.29365079365079366,0.5,0.06082621402563593,-0.0614244837985497,1.4212438455673508,11.101026913601496,-0.007021355079353115,-0.010956774045537687,166.0
2022,-0.048614628753627875,-0.048803507647601885,0.052712840379753566,-0.925837183047089,-1.0678215989410267,-0.7672382033290746,-0.06360932945706,0.38247011952191234,0.3333333333333333,0.017852243402469048,-0.03300832140997234,-0.14023886405651245,5.5364109301671025,-0.00543483563572075,-0.008769183347834624,233.0
2023,0.06882680405041897,0.0693960982052717,0.04307609752104499,1.611011725734161,2.6313348194318853,3.271373201534929,-0.02121314014943665,0.484,0.8333333333333334,0.019320491813001883,-0.006797740461544022,0.5539955387362339,2.1110068539220763,-0.00401571745101268,-0.005405253383445284,89.0
2024,-0.0367444182632225,-0.0367444182632225,0.06812823891780141,-0.5393419651953083,-0.4922615143986782,-0.5143986516946039,-0.07143179349746331,0.38492063492063494,0.5,0.02475038644162253,-0.04852049253077839,-3.0780074483677438,27.13526057777354,-0.005214939468400965,-0.010765901643805899,198.0
