pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
MSFT/GOOGL,2023-04-27,2023-05-24,short_spread,3.2931736730856307,-0.3837628685883965,20,0.0327758072127282,0.0307085305731067,time_stop,0.002,23,stock_peer_groups,mega_cap_platforms,kalman,0.1913288753869351
TLT/EDV,2023-06-27,2023-07-07,short_spread,2.106450120616822,2.053092698473044,8,0.0001616945527462,-0.0008374192391221,time_stop,0.001,23,etf_peer_groups,long_treasuries,kalman,0.35
JNJ/LLY,2023-04-19,2023-05-16,long_spread,-2.164215556752591,-0.6671625309038643,20,-0.0465656416987021,-0.048465144970402,time_stop,0.002,23,stock_peer_groups,large_pharma,kalman,0.2568481742795795
JNJ/LLY,2023-06-06,2023-07-05,short_spread,2.092332557951501,-0.7586993858421837,20,-0.0153638860482318,-0.0173321067772574,time_stop,0.002,23,stock_peer_groups,large_pharma,kalman,0.2568481742795795
MCHP/NXPI,2023-05-05,2023-06-02,short_spread,2.521291207539761,0.0516087632101892,20,0.0409861392671275,0.0389202727671675,time_stop,0.002,23,stock_peer_groups,semiconductors,kalman,0.2018229503334852
CVS/CNC,2023-07-13,2023-08-09,short_spread,2.327141518789283,-0.3570114995372906,20,-0.028940516039415,-0.0308895882458282,time_stop,0.002,24,stock_peer_groups,managed_care,kalman,0.35
CVS/CNC,2023-08-21,2023-09-18,long_spread,-2.7062664653437003,1.015103858953601,20,0.0214955347141017,0.0194557417125122,time_stop,0.002,24,stock_peer_groups,managed_care,kalman,0.35
ADBE/NOW,2023-08-14,2023-09-11,long_spread,-2.16992572925097,-0.6738048008678705,20,0.0283935396383643,0.0263476816765286,time_stop,0.002,24,stock_peer_groups,enterprise_software,kalman,0.3
ADBE/NOW,2023-09-13,2023-10-05,long_spread,-2.0353378038706187,0.5984264311940167,17,0.0017276668358821,0.0007364600076049,time_stop,0.001,24,stock_peer_groups,enterprise_software,kalman,0.3
TXN/NXPI,2023-07-13,2023-08-09,short_spread,2.0168489947297568,-0.939691361406894,20,0.0616421862091249,0.0595257187497455,time_stop,0.002,24,stock_peer_groups,semiconductors,kalman,0.35
MS/STT,2023-10-20,2023-11-16,long_spread,-2.397811122853952,1.3610328852159708,20,0.0480619465425162,0.0459772612526074,time_stop,0.002,25,stock_peer_groups,capital_markets,kalman,0.2703101820072726
